ID,shape,outlierType,outlierPosition,choice,success,rt,majorityOfMostRegularShapes,rot1,rot2,rot3,rot4,rot5,rot6,dil1,dil2,dil3,dil4,dil5,dil6,usedTouchscreen,population,age,classe
ARIELLE,trapezoid,0,3,3,1,2949,True,2,6,5,1,3,4,3,5,1,4,2,6,True,baboons,,
ARIELLE,rectangle,0,2,4,0,840,False,5,3,2,6,1,4,4,1,5,3,2,6,True,baboons,,
ARIELLE,losange,3,0,4,0,2523,False,1,5,2,4,6,3,5,1,6,3,4,2,True,baboons,,
ARIELLE,square,0,0,5,0,1141,False,6,4,1,5,2,3,3,5,1,2,4,6,True,baboons,,
ARIELLE,rectangle,3,5,1,0,1449,False,4,5,6,3,1,2,3,2,4,6,1,5,True,baboons,,
ARIELLE,random,3,1,1,1,1598,False,4,6,1,5,3,2,1,5,2,3,6,4,True,baboons,,
ARIELLE,rectangle,0,2,0,0,2551,True,2,5,1,4,3,6,1,6,2,3,4,5,True,baboons,,
ARIELLE,isoTrapezoid,0,5,3,0,2168,False,2,5,6,1,3,4,5,4,3,2,6,1,True,baboons,,
ARIELLE,kite,1,3,3,1,1680,False,3,1,4,6,5,2,4,3,2,6,5,1,True,baboons,,
ARIELLE,isoTrapezoid,3,4,5,0,1719,False,1,6,5,3,4,2,1,5,4,3,2,6,True,baboons,,
ARIELLE,random,1,0,5,0,883,False,3,2,5,6,4,1,3,1,6,2,5,4,True,baboons,,
ARIELLE,isoTrapezoid,0,1,0,0,3801,True,5,1,3,2,6,4,3,6,1,5,4,2,True,baboons,,
ARIELLE,trapezoid,2,5,2,0,1391,False,3,2,6,4,5,1,2,3,5,1,4,6,True,baboons,,
ARIELLE,isoTrapezoid,2,2,1,0,2340,True,3,6,2,1,5,4,4,6,2,5,3,1,True,baboons,,
ARIELLE,trapezoid,0,3,3,1,2621,False,5,4,1,2,6,3,1,6,3,4,5,2,True,baboons,,
ARIELLE,hinge,3,2,4,0,2148,True,5,6,2,3,4,1,3,4,6,2,1,5,True,baboons,,
ARIELLE,losange,2,4,4,1,2980,True,5,6,2,4,1,3,5,1,3,2,6,4,True,baboons,,
ARIELLE,parallelogram,3,4,2,0,4262,True,5,1,6,2,3,4,3,2,1,5,4,6,True,baboons,,
ARIELLE,losange,1,3,3,1,4551,False,1,3,4,2,5,6,5,3,6,2,4,1,True,baboons,,
ARIELLE,parallelogram,3,0,5,0,1012,False,3,1,2,4,5,6,3,6,5,2,4,1,True,baboons,,
ARIELLE,hinge,2,2,3,0,1668,False,4,6,3,2,1,5,1,2,5,3,4,6,True,baboons,,
ARIELLE,isoTrapezoid,1,1,1,1,4418,True,2,6,3,1,5,4,5,2,1,4,6,3,True,baboons,,
ARIELLE,kite,2,5,2,0,1770,False,3,4,5,2,6,1,1,4,5,6,2,3,True,baboons,,
ARIELLE,losange,0,1,3,0,2230,False,1,6,4,5,2,3,6,2,1,4,5,3,True,baboons,,
ARIELLE,rightKite,0,5,2,0,1953,False,4,1,6,3,5,2,3,6,1,2,4,5,True,baboons,,
ARIELLE,kite,2,4,4,1,2641,True,2,4,5,6,3,1,2,1,4,5,6,3,True,baboons,,
ARIELLE,rectangle,2,4,4,1,699,True,5,4,3,6,2,1,4,3,2,1,6,5,True,baboons,,
ARIELLE,hinge,1,2,4,0,1371,False,1,6,4,3,2,5,1,5,2,6,3,4,True,baboons,,
ARIELLE,hinge,2,0,0,1,3000,True,5,4,1,2,6,3,4,2,3,5,6,1,True,baboons,,
ARIELLE,losange,1,0,1,0,1742,True,5,6,1,4,3,2,2,4,3,1,5,6,True,baboons,,
ARIELLE,parallelogram,1,1,1,1,1988,False,5,3,6,1,4,2,3,5,1,2,4,6,True,baboons,,
ARIELLE,square,2,3,3,1,1730,False,4,1,6,5,2,3,1,3,2,6,4,5,True,baboons,,
ARIELLE,losange,2,2,4,0,973,False,3,4,2,6,1,5,3,4,6,2,1,5,True,baboons,,
ARIELLE,random,3,4,3,0,1641,True,5,2,1,3,6,4,3,1,5,6,2,4,True,baboons,,
ARIELLE,random,0,3,3,1,2309,True,4,6,3,1,2,5,1,4,3,6,2,5,True,baboons,,
ARIELLE,rectangle,1,1,4,0,3027,False,5,2,6,3,1,4,4,3,5,6,2,1,True,baboons,,
ARIELLE,isoTrapezoid,1,2,3,0,2250,False,5,4,2,3,6,1,2,3,5,4,1,6,True,baboons,,
ARIELLE,rustedHinge,1,1,0,0,2961,False,4,3,6,1,2,5,1,3,2,4,6,5,True,baboons,,
ARIELLE,trapezoid,1,5,1,0,3938,False,4,5,6,3,2,1,3,5,4,2,1,6,True,baboons,,
ARIELLE,rightKite,2,0,0,1,1078,True,2,5,4,3,1,6,1,6,5,3,4,2,True,baboons,,
ARIELLE,losange,3,0,3,0,2777,True,2,5,3,1,6,4,4,3,1,6,5,2,True,baboons,,
ARIELLE,parallelogram,0,5,5,1,2938,True,6,1,3,2,5,4,1,4,3,5,6,2,True,baboons,,
ARIELLE,isoTrapezoid,2,1,4,0,1551,False,6,4,5,3,1,2,5,4,6,1,3,2,True,baboons,,
ARIELLE,losange,0,1,3,0,4109,True,4,2,5,1,6,3,6,1,2,4,3,5,True,baboons,,
ARIELLE,rectangle,3,5,5,1,2480,True,1,3,6,2,4,5,1,5,3,4,6,2,True,baboons,,
ARIELLE,rustedHinge,2,5,5,1,4449,True,4,1,2,5,3,6,2,3,5,4,1,6,True,baboons,,
ARIELLE,rightKite,3,0,1,0,2520,False,5,1,6,2,3,4,6,1,3,2,4,5,True,baboons,,
ARIELLE,hinge,3,1,1,1,1969,False,2,4,1,6,5,3,4,1,3,5,6,2,True,baboons,,
ARIELLE,rectangle,2,2,5,0,1809,False,1,5,4,3,6,2,4,2,1,3,5,6,True,baboons,,
ARIELLE,square,1,4,4,1,2809,True,6,3,1,4,5,2,2,5,3,1,4,6,True,baboons,,
ARIELLE,hinge,0,5,5,1,2070,True,4,3,2,5,1,6,4,2,5,3,1,6,True,baboons,,
ARIELLE,kite,0,2,1,0,2020,False,4,1,6,5,2,3,3,2,1,4,6,5,True,baboons,,
ARIELLE,rustedHinge,2,0,5,0,3891,False,1,3,5,6,4,2,6,1,5,3,4,2,True,baboons,,
ARIELLE,random,0,3,1,0,3031,False,5,6,2,4,3,1,5,6,1,3,4,2,True,baboons,,
ARIELLE,random,2,4,0,0,3871,False,3,4,5,1,2,6,1,6,4,2,3,5,True,baboons,,
ARIELLE,square,3,4,2,0,2250,False,6,1,5,4,3,2,4,6,5,2,1,3,True,baboons,,
ARIELLE,parallelogram,0,0,4,0,953,False,3,2,6,1,5,4,6,4,1,5,2,3,True,baboons,,
ARIELLE,square,2,2,2,1,1820,True,4,6,2,5,3,1,2,4,3,1,5,6,True,baboons,,
ARIELLE,rustedHinge,0,0,2,0,2559,False,5,6,1,3,2,4,6,5,2,1,3,4,True,baboons,,
ARIELLE,trapezoid,1,4,1,0,2039,True,5,1,2,6,3,4,6,4,2,5,3,1,True,baboons,,
ARIELLE,random,1,3,0,0,2000,True,5,1,6,2,3,4,4,6,2,1,5,3,True,baboons,,
ARIELLE,kite,1,1,4,0,4422,True,4,3,1,5,6,2,6,2,3,5,1,4,True,baboons,,
ARIELLE,kite,3,0,1,0,1422,True,4,1,3,6,2,5,1,5,6,3,2,4,True,baboons,,
ARIELLE,trapezoid,2,2,0,0,3699,True,3,6,5,4,2,1,1,2,6,4,5,3,True,baboons,,
ARIELLE,square,3,3,3,1,1629,True,3,4,5,6,1,2,6,2,3,5,1,4,True,baboons,,
ARIELLE,rustedHinge,3,3,3,1,4242,False,3,5,1,6,4,2,5,2,4,1,6,3,True,baboons,,
ARIELLE,square,0,1,5,0,1156,True,4,1,6,5,3,2,3,6,4,1,5,2,True,baboons,,
ARIELLE,random,2,0,5,0,1590,True,2,6,3,5,4,1,2,3,1,5,4,6,True,baboons,,
ARIELLE,parallelogram,1,5,4,0,2480,True,6,4,5,2,1,3,6,4,1,3,5,2,True,baboons,,
ARIELLE,rustedHinge,3,4,3,0,3039,True,1,4,3,6,2,5,2,5,1,6,3,4,True,baboons,,
ARIELLE,random,1,1,4,0,2000,False,2,5,4,6,1,3,1,2,3,4,5,6,True,baboons,,
ARIELLE,rustedHinge,1,2,4,0,2387,True,5,4,6,3,2,1,2,4,3,5,1,6,True,baboons,,
ARIELLE,square,3,3,2,0,1539,False,3,4,6,5,1,2,3,5,1,6,2,4,True,baboons,,
ARIELLE,parallelogram,0,0,0,1,3090,True,6,1,3,5,2,4,6,4,3,2,5,1,True,baboons,,
ARIELLE,rectangle,0,5,1,0,3629,True,4,1,6,3,5,2,1,5,3,4,2,6,True,baboons,,
ARIELLE,rightKite,3,0,5,0,1461,True,3,4,5,1,2,6,6,3,1,2,5,4,True,baboons,,
ARIELLE,rectangle,2,3,2,0,1430,True,5,4,3,1,2,6,5,1,3,2,6,4,True,baboons,,
ARIELLE,kite,2,5,5,1,2348,False,2,6,5,1,4,3,2,4,1,3,6,5,True,baboons,,
ARIELLE,losange,3,0,0,1,2449,True,5,2,6,1,4,3,5,4,2,3,6,1,True,baboons,,
ARIELLE,trapezoid,3,1,0,0,2191,False,6,4,5,1,2,3,1,2,5,6,4,3,True,baboons,,
ARIELLE,trapezoid,1,1,5,0,1961,False,3,2,5,1,4,6,4,5,3,1,2,6,True,baboons,,
ARIELLE,rightKite,2,3,2,0,4102,True,1,4,5,6,3,2,5,6,4,1,3,2,True,baboons,,
ARIELLE,square,2,4,3,0,2684,False,4,1,5,6,2,3,3,6,2,4,5,1,True,baboons,,
ARIELLE,losange,1,5,1,0,1328,False,4,1,6,2,5,3,3,2,4,5,6,1,True,baboons,,
ARIELLE,rightKite,2,2,2,1,1520,False,3,2,6,4,5,1,1,3,5,4,6,2,True,baboons,,
ARIELLE,rustedHinge,2,3,3,1,2641,True,1,4,5,2,3,6,6,5,1,3,2,4,True,baboons,,
ARIELLE,random,3,0,2,0,2391,False,3,5,6,4,2,1,4,3,1,6,5,2,True,baboons,,
ARIELLE,rightKite,0,2,2,1,2070,False,2,3,1,5,6,4,6,1,3,5,2,4,True,baboons,,
ARIELLE,rectangle,3,4,2,0,1750,False,4,5,6,3,2,1,5,6,2,4,1,3,True,baboons,,
ARIELLE,hinge,3,1,3,0,2930,False,5,2,1,6,3,4,5,6,3,1,4,2,True,baboons,,
